Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1982,.05,.15,.03,.15,.18,.05,.14,.04,.14,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.28,.33,.22,.18,.35,.37,.17,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.20,.22,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.11,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.10
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.32,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.44,.51,.42,.44,.40,.33,.39,.36,.37,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.16,.34,.33,.34,.29,.20,.37,.27,.27,.24,.27,.28,.28
1990,.41,.44,.80,.56,.45,.37,.45,.34,.23,.45,.46,.40,.45,.44,.41,.60,.39,.38
1991,.42,.49,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.26,.08,.08,-.01,.06,.03,.22,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.28,.28,.22,.25,.11,.12,.23,.03,.18,.23,.23,.31,.31,.19,.13
1994,.26,.02,.29,.41,.28,.44,.30,.21,.32,.42,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.47,.47,.27,.43,.45,.45,.34,.47,.44,.26,.45,.46,.56,.40,.44,.42
1996,.24,.46,.32,.33,.27,.25,.36,.48,.25,.19,.38,.37,.33,.32,.32,.31,.37,.27
1997,.31,.40,.52,.33,.34,.54,.34,.41,.52,.61,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.65,.65,.42,.41,.43,.55,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.31,.38,.34,.37,.41,.38,.39,.56,.30,.35,.36
2000,.25,.56,.55,.57,.36,.40,.39,.42,.39,.26,.30,.28,.39,.40,.40,.49,.40,.32
2001,.46,.44,.56,.50,.57,.52,.59,.49,.52,.50,.72,.56,.54,.51,.39,.54,.53,.58
2002,.77,.78,.88,.58,.64,.53,.61,.53,.63,.54,.59,.44,.63,.64,.71,.70,.56,.58
2003,.75,.58,.59,.55,.61,.48,.58,.64,.62,.72,.53,.75,.62,.59,.59,.58,.57,.62
2004,.58,.72,.63,.61,.37,.44,.26,.45,.50,.60,.72,.50,.53,.55,.68,.54,.38,.61
2005,.74,.60,.74,.67,.63,.64,.61,.60,.71,.75,.73,.68,.67,.66,.61,.68,.62,.73
2006,.56,.73,.63,.47,.47,.66,.54,.71,.65,.69,.74,.79,.63,.63,.65,.52,.63,.69
2007,1.02,.70,.72,.75,.69,.61,.60,.60,.60,.58,.59,.49,.66,.69,.83,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.46,.61,.67,.69,.54,.54,.54,.39,.59,.51,.65
2009,.64,.53,.54,.61,.65,.64,.73,.68,.71,.65,.79,.67,.65,.64,.57,.60,.69,.72
2010,.75,.83,.92,.84,.75,.68,.62,.67,.63,.70,.81,.45,.72,.74,.75,.84,.66,.71
2011,.52,.48,.65,.65,.53,.62,.70,.74,.56,.65,.58,.61,.61,.59,.48,.61,.69,.60
2012,.48,.49,.58,.72,.78,.64,.58,.65,.72,.79,.78,.53,.65,.65,.53,.69,.62,.76
2013,.70,.62,.67,.54,.61,.69,.60,.69,.76,.69,.83,.69,.67,.66,.62,.60,.66,.76
2014,.76,.55,.78,.79,.86,.67,.58,.82,.87,.80,.66,.78,.74,.74,.67,.81,.69,.78
2015,.85,.90,.95,.76,.79,.81,.72,.80,.85,1.09,1.06,1.16,.90,.86,.84,.84,.78,1.00
2016,1.16,1.37,1.36,1.10,.95,.80,.84,1.01,.90,.88,.92,.86,1.01,1.04,1.23,1.14,.88,.90
2017,1.02,1.13,1.16,.94,.91,.71,.81,.87,.76,.90,.88,.93,.92,.91,1.01,1.00,.80,.85
2018,.81,.84,.88,.89,.82,.77,.82,.76,.80,1.02,.82,.91,.84,.85,.86,.86,.78,.88
2019,.93,.95,1.16,1.01,.85,.91,.94,.95,.93,1.01,.99,1.09,.98,.96,.93,1.01,.93,.98
2020,1.17,1.24,1.17,1.13,1.02,.92,.90,.87,.99,.89,1.10,.81,1.02,1.04,1.17,1.10,.90,.99
2021,.81,.64,.88,.75,.78,.84,.92,.81,.92,1.00,.93,.85,.85,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.83,.84,.92,.93,.95,.89,.97,.73,.79,.89,.90,.88,.91,.93,.86
